type,id,author,editor,advisor,note,title,pages,article_no,num_pages,keywords,doi,journal,issue_date,volume,issue_no,description,month,year,issn,booktitle,acronym,edition,isbn,conf_loc,publisher,publisher_loc
article,1985993,He  Zhang and Ross  Jeffery and Dan  Houston and Liguo  Huang and Liming  Zhu,,,,Impact of Process Simulation on Software Practice: An Initial Report,1046--1056,,11,"impact analysis, process simulation, software process",10.1145/1985793.1985993,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985882,John  Hutchinson and Mark  Rouncefield and Jon  Whittle,,,,Model-driven Engineering Practices in Industry,633--642,,10,"empirical evaluation, model driven engineering, software engineering",10.1145/1985793.1985882,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985824,Chao  Wang and Mahmoud  Said and Aarti  Gupta,,,,Coverage Guided Systematic Concurrency Testing,221--230,,10,"concurrency, coverage, partial order reduction",10.1145/1985793.1985824,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985811,Satish  Chandra and Emina  Torlak and Shaon  Barman and Rastislav  Bodik,,,,Angelic Debugging,121--130,,10,"angelic non-determinism, debugging, symbolic execution, tests",10.1145/1985793.1985811,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985854,Friedrich  Steimann and Fabian Urs Stolz,,,,Refactoring to Role Objects,441--450,,10,"delegation, object schizophrenia, refactoring to patterns, roles",10.1145/1985793.1985854,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985807,Sandeep  Kumar and Siau-Cheng  Khoo and Abhik  Roychoudhury and David  Lo,,,,Mining Message Sequence Graphs,91--100,,10,"distributed systems, specification mining",10.1145/1985793.1985807,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985858,John  Hutchinson and Jon  Whittle and Mark  Rouncefield and Steinar  Kristoffersen,,,,Empirical Assessment of MDE in Industry,471--480,,10,"empirical software engineering, model driven engineering",10.1145/1985793.1985858,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985805,Kathryn T. Stolee and Sebastian  Elbaum,,,,Refactoring Pipe-like Mashups for End-user Programmers,81--90,,10,"end user software engineering, refactoring, web mashups",10.1145/1985793.1985805,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985850,Sunny  Wong and Yuanfang  Cai and Miryung  Kim and Michael  Dalton,,,,Detecting Software Modularity Violations,411--420,,10,"bad code smells, design structure matrix, modularity violation detection, refactoring",10.1145/1985793.1985850,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
article,1985843,Tung Thanh Nguyen and Hung Viet Nguyen and Hoan Anh Nguyen and Tien N. Nguyen,,,,Aspect Recommendation for Evolving Software,361--370,,10,"aspect mining, concern peer, cross-cutting concern",10.1145/1985793.1985843,,,,,,,2011,,Proceedings of the 33rd International Conference on Software Engineering,ICSE '11,,978-1-4503-0445-0,"Waikiki, Honolulu, HI, USA",ACM,"New York, NY, USA"
