Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Organizational volatility and its effects on software defects,A. Mockus,"Avaya Labs Research, Basking Ridge, NJ, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,117,126,"<p>The key premise of an organization is to allow more efficient production, including production of high quality software. To achieve that, an organization defines roles and reporting relationships. Therefore, changes in organization's structure are likely to affect product's quality. We propose and investigate a relationship between developer-centric measures of organizational change and the probability of customer-reported defects in the context of a large software project. We find that the proximity to an organizational change is significantly associated with reductions in software quality. We also replicate results of several prior studies of software quality supporting findings that code, change, and developer characteristics affect fault-proneness. In contrast to prior studies we find that distributed development decreases quality. Furthermore, recent departures from an organization were associated with increased probability of customer-reported defects, thus demonstrating that in the observed context the organizational change reduces product quality.</p>",,,10.1145/1882291.1882311,,,organizational volatility;software defects,,,,,19,1,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Evolution of a bluetooth test application product line: a case study,N. Ramasubbu; R. K. Balan,"Singapore Management University, Singapore, Singapore",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,107,116,"<p>In this paper, we study the decision making process involved in the five year lifecycle of a Bluetooth software product produced by a large, multi-national test and measurement firm. In this environment, customer change requests either have to be added as a standard feature in the product, or developed as a special customized version of the product. We first discuss the influential factors, such as evolving standards, market share, installed-base, and complexity, which collectively determined how the firm responded to product change requests. We then develop a predictive decision model to test the collective impact of these factors on determining whether to standardize or customize a customer's change request. Finally, we develop and test a customization cost estimation model, for use by software product teams, which specifically accounts for factors unique to the customization stage of a product lifecycle.</p>",,,10.1145/1882291.1882309,,,complexity;product development;product life cycle;software engineering economics;software evolution;software process,,,,,0,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Using dynamic analysis to create trace-focused user interfaces for IDEs,D. Myers; M. A. Storey,"University of Victoria, Victoria, BC, Canada",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,367,368,"<p>This research demonstration presents the tool, <i>Dynamic Interactive Views for Reverse Engineering</i> (Diver). Diver supports software understanding through a trace focused user interface. The <i>trace focused user interface</i> is a method of re-organizing the user interface of integrated development environments so that developers can focus their attention on artifacts related to the run-time behaviour of the software that they are investigating. The tool combines concepts from research in software visualization, dynamic analysis, software reconnaissance, and task focused user interfaces.</p>",,,10.1145/1882291.1882351,,,integrated development environments;reverse engineering;software reconnaissance;visualization,,,,,2,1,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
The missing links: bugs and bug-fix commits,A. Bachmann; C. Bird; F. Rahman; P. Devanbu; A. Bernstein,"University of Zurich, Zurich, Switzerland",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,97,106,"<p>Empirical studies of software defects rely on links between bug databases and program code repositories. This <i>linkage</i> is typically based on bug-fixes identified in developer-entered commit logs. Unfortunately, developers do not always report which commits perform bug-fixes. Prior work suggests that such links can be a biased sample of the entire population of fixed bugs. The validity of statistical hypotheses-testing based on linked data could well be affected by bias. Given the wide use of linked defect data, it is vital to gauge the nature and extent of the bias, and try to develop testable theories and models of the bias. To do this, <i>we must establish ground truth</i>: manually analyze a complete version history corpus, and nail down those commits that fix defects, and those that do not. This is a diffcult task, requiring an expert to compare versions, analyze changes, find related bugs in the bug database, reverse-engineer missing links, and finally record their work for use later. This effort must be repeated for hundreds of commits to obtain a useful sample of reported and unreported bug-fix commits. We make several contributions. First, we present Linkster, a tool to facilitate link reverse-engineering. Second, we evaluate this tool, engaging a core developer of the Apache HTTP web server project to exhaustively annotate 493 commits that occurred during a six week period. Finally, we analyze this comprehensive data set, showing that there are serious and consequential problems in the data.</p>",,,10.1145/1882291.1882308,,,apache;bias;case study;manual annotation;tool,,,,,36,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
A study of applying a research prototype tool in industrial practice,O. Badreddin; T. C. Lethbridge,"University of Ottawa, Ottawa, ON, Canada",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,353,356,"<p>Our research tool, Umple, has the objective of raising the abstraction level of programming languages by adding modeling abstractions such as UML associations, attributes and state machines. My research focuses on the syntax and semantics of state machines in Umple plus the empirical validation of Umple. The latter consists of a grounded theory study of Umple users, and action research involving the use of Umple in an industrial sitting. The grounded theory study is guiding our research and development of Umple. The action research is enlarging the pool of Umple users and contributing to the validation of Umple's approach.</p>",,,10.1145/1882291.1882345,,,action research;grounded theory;modeling;uml,,,,,0,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Analyzing hierarchical complex real-time systems,Y. Liu; J. Sun; J. S. Dong,"National University of Singapore, Singapore, Singapore",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,365,366,"<p>Specification and verification of real-time systems are important research topics which have practical implications. In this work, we present a self-contained toolkit to analyze real-time systems, which supports system modeling, animated simulation and automatic verification (based on advanced model checking techniques like dynamic zone abstraction). In this tool, we adopt an event-based modeling language for describing real-time systems with hierarchical structure. Experiments show that our tool has compatible performance with the state-of-the-art verifiers, and complement them with additional capabilities like LTL model checking, timed refinement checking.</p>",,,10.1145/1882291.1882350,,,real-time system;zone abstraction,,,,,0,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Locating need-to-translate constant strings in web applications,X. Wang; L. Zhang; T. Xie; H. Mei; J. Sun,"Peking University, Beijing, China",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,87,96,"<p>Software internationalization aims to make software accessible and usable by users all over the world. For a Java application that does not consider internationalization at the beginning of its develop- ment stage, our previous work proposed an approach to locating need-to-translate constant strings in the Java code. However, when being applied on web applications, it can identify only constant strings that may go to the generated HTML texts, but cannot further distinguish constant strings visible at the browser side (need-to-translate) from other constant strings (not need-to-translate). In this paper, to address significant challenges in internationalizing web applications, we propose a novel approach to locating need-to-translate constant strings in web applications. Among those constant strings that may go to the generated HTML texts, our approach further distinguishes strings visible at the browser side from non-visible strings via a novel technique called flag propagation. We evaluated our approach on three real-world open source PHP-based web applications (in total near 17 KLOC): Squirrel Mail, Lime Survey, and Mrbs. The empirical results demonstrate that our approach accurately distinguishes visible strings from non-visible strings among all the constant strings that may go to the generated HTML texts, and is effective for locating need-to-translate constant strings in web applications.</p>",,,10.1145/1882291.1882306,,,flag propagation;software internationalization;web application,,,,,11,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Towards behavior elaboration and synthesis using modes,H. Shokry,"University of Limerick, Limerick, Ireland",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,349,352,"<p>Early system requirements are often captured by declarative and property-based artifacts, such as scenarios and goals. While such artifacts are intuitive and useful, they are partial and typically lack an overarching structure to allow systematic elaboration of the fragmented behaviors they denote. I aim to develop a design technique for structuring the partial specifications by partitioning the state-space based on Parnas' notions of 'modes' and 'mode-classes'. A mode is set of states, characterized by a predicate. A mode-class is a set of disjoint modes completely covering the state space. The structuring framework supports early elaboration of partial specification, and facilitates improved synthesis of integrated system behavioral prototype.</p>",,,10.1145/1882291.1882344,,,behavior synthesis;modes;state-space partitioning.,,,,,0,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
HI-C: diagnosing object churn in framework-based applications,M. Fisher; L. Marrs; B. G. Ryder,"University of Memphis, Memphis, TN, USA",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,379,380,"<p>In prior work we have developed an escape analysis to help developers identify sources of object churn (i.e., excessive use of temporaries) in large framework-based applications. We have developed Hi-C, an Eclipse plug-in that allows users to visualize, filter, and explore analysis results to aid them in diagnosis of object churn and in program comprehension in general.</p>",,,10.1145/1882291.1882358,,,blended analysis;object churn;performance diagnosis,,,,,1,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
Realizability analysis for message-based interactions using shared-state projections,S. Hallí©; T. Bultan,"Universit&#233; du Qu&#233;bec &#224; Chicoutimi, Chicoutimi, PQ, Canada",Proceedings of the eighteenth ACM SIGSOFT international symposium on Foundations of software engineering,20110708,2010,,,27,36,"<p>The global interaction behavior in message-based systems can be specified as a finite-state machine defining acceptable sequences of messages exchanged by a group of peers. Realizability analysis determines if there exist local implementations for each peer, such that their composition produces exactly the intended global behavior. Although there are existing sufficient conditions for realizability, we show that these earlier results all fail for a particular class of specifications called arbitrary-initiator protocols. We present a novel algorithm for deciding realizability by computing a finite-state model that keeps track of the information about the global state of a conversation protocol that each peer can deduce from the messages it sends and receives. By searching for disagreements between each peer's deduced states, we provide a sound analysis for realizability that correctly classifies realizability of arbitrary-initiator protocols.</p>",,,10.1145/1882291.1882298,,,asynchronous communication;choreography;realizability,,,,,0,,,,,,7-11 Nov. 2010,,ACM,ACM Conferences
