"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Eye movements in code review","A. Begel; H. Vrzakova","Microsoft Research","Proceedings of the Workshop on Eye Movements in Programming","20180614","2018","","","1","5","<p>In order to ensure sufficient quality, software engineers conduct code reviews to read over one another's code looking for errors that should be fixed before committing to their source code repositories. Many kinds of errors are spotted, from simple spelling mistakes and syntax errors, to architectural flaws that may span several files. However, we know little about how software developers read code when looking for defects. What kinds of code trigger engineers to check more deeply into suspected defects? How long do they take to verify whether a defect is really there? We conducted a study of 35 software engineers performing 40 code reviews while capturing their gaze with an eye tracker. We classified each code defect the developers found and captured the patterns of eye gazes used to deliberate about each one. We report how long it took to confirm defect suspicions for each type of defect and the fraction of time spent skimming the code vs. carefully reading it. This work provides a starting point for automating code reviews that could help engineers spend more time focusing on the difficult task of defect confirmation rather than the tedious task of defect discovery.</p>","","","10.1145/3216723.3216727","","","code review;eye tracking","","","","","","","","","","","15-15 June 2018","","ACM","ACM Conferences"
"CFar: A Tool to Increase Communication, Productivity, and Review Quality in Collaborative Code Reviews","A. Z. Henley; K. Muçlu; M. Christakis; S. D. Fleming; C. Bird","University of Memphis, Memphis, TN, USA","Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems","20180426","2018","","","1","13","<p>Collaborative code review has become an integral part of the collaborative design process in the domain of software development. However, there are well-documented challenges and limitations to collaborative code review---for instance, high-quality code reviews may require significant time and effort for the programmers, whereas faster, lower-quality reviews may miss code defects. To address these challenges, we introduce CFar, a novel tool design for extending collaborative code review systems with an automated code reviewer whose feedback is based on program-analysis technologies. To validate this design, we implemented CFar as a production-quality tool and conducted a mixed-method empirical evaluation of the tool usage at Microsoft. Through the field deployment of our tool and a laboratory study of professional programmers using the tool, we produced several key findings showing that CFar enhances communication, productivity, and review quality in human--human collaborative code review.</p>","","","10.1145/3173574.3173731","","","code review;collaborative design;programming environments","","","","","","","","","","","21-26 April 2018","","ACM","ACM Conferences"
"Diggit: Automated code review via software repository mining","R. Chatley; L. Jones","Imperial College London, 180 Queen's Gate, London, UK","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)","20180405","2018","","","567","571","We present Diggit, a tool to automatically generate code review comments, offering design guidance on prospective changes, based on insights gained from mining historical changes in source code repositories. We describe how the tool was built and tuned for use in practice as we integrated Diggit into the working processes of an industrial development team. We focus on the developer experience, the constraints that had to be met in adapting academic research to produce a tool that was useful to developers, and the effectiveness of the results in practice.","","Electronic:978-1-5386-4969-5; POD:978-1-5386-4970-1","10.1109/SANER.2018.8330261","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8330261","data mining;software maintenance","Complexity theory;Data mining;Feathers;History;Market research;Software;Tools","data mining;program compilers;software development management;software maintenance;software quality;source code (software);team working","Diggit;automated code review;code review comments;design guidance;historical changes mining;industrial development team;software repository mining;source code repositories","","","","","","","","20-23 March 2018","","IEEE","IEEE Conferences"
"Review participation in modern code review: An empirical study of the Android, Qt, and OpenStack projects (journal-first abstract)","P. Thongtanunam; S. McIntosh; A. E. Hassan; H. Iida","The University of Adelaide, McGill University, Queen's University, Nara Institute of Science and Technology","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)","20180405","2018","","","475","475","This paper empirically investigates the factors influence review participation in the MCR process. Through a case study of the Android, Qt, and OpenStack open source projects, we find that the amount of review participation in the past is a significant indicator of patches that will suffer from poor review participation. Moreover, the description length of a patch and the purpose of introducing new features also share a relationship with the likelihood of receiving poor review participation. This paper is an extended abstract of a paper published in the Empirical Software Engineering journal. The original paper is communicated by Jeffrey C. Carver.","","Electronic:978-1-5386-4969-5; POD:978-1-5386-4970-1","10.1109/SANER.2018.8330241","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8330241","","","","","","","","","","","","20-23 March 2018","","IEEE","IEEE Conferences"
"Multi-Perspective Visualization to Assist Code Change Review","C. Wang; X. Xie; P. Liang; J. Xuan","State Key Lab. of Software Eng., Wuhan Univ., Wuhan, China","2017 24th Asia-Pacific Software Engineering Conference (APSEC)","20180305","2017","","","564","569","Change-based code review plays an important role in open-source project development. Due to the large amount of human involvement and tight time schedule, tools that can facilitate this activity would be of great help. Current tools mainly focus on difference extraction, code style examination, static analysis, comment and discussion, etc. However, there is little support to change impact analysis for code change review. In this paper, we serve this purpose by providing a change review assistance tool, namely, MultiViewer, for the most popular OSS GitHub. We define metrics to characterize code changes from multiple perspectives. Specifically, these metrics mine coupling relations among related files in the changes, as well as estimate the change effort, risk and impact. Such information is visualized by MultiViewer in two formats. We demonstrate the helpfulness of MultiViewer by showing its ability as indicators to some important project features with real-life case studies.","","Electronic:978-1-5386-3681-7; POD:978-1-5386-3682-4","10.1109/APSEC.2017.66","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8305982","GitHub;change impact analysis;code review;visualization","Color;Computer bugs;Correlation;Couplings;Measurement;Tools;Visualization","data visualisation;program diagnostics;program visualisation;public domain software;software quality","MultiViewer;OSS GitHub;agile software development;assist code change review;change review assistance tool;change-based code review;code review;code style examination;multiperspective visualization;open-source project development;software quality assurance;static analysis","","","","","","","","4-8 Dec. 2017","","IEEE","IEEE Conferences"
"Comparing sequential and parallel code review techniques for formative feedback","A. Luxton-Reilly; A. Lewis; B. Plimmer","University of Auckland, Auckland, New Zealand","Proceedings of the 20th Australasian Computing Education Conference","20180301","2018","","","45","52","<p>The practice of Peer Review is widespread across a range of academic disciplines. We report on a study that compared two different approaches of peer reviewing program code --- reviewing a sequence of solutions to the same problem (sequential code review), and reviewing a set of multiple solutions side-by-side (parallel code review). We found that the parallel approach was preferred by the majority of participants in the study and there were some indications that it might be more helpful for reviewers, but the sequential approach elicited more written comments in general, and more specific critical comments compared with the parallel approach. Although parallel reviews may be preferred by reviewers, using sequential reviews appears to result in increased levels of formative feedback for the recipient.</p>","","","10.1145/3160489.3160498","","","CS1;code review;formative feedback;novice programmers;parallel code review;peer assessment;peer feedback;peer review;sequential code review","","","","","","","","","","","Jan. 30 2018-Feb. 2 2018","","ACM","ACM Conferences"
"Investigating the Effectiveness of Peer Code Review in Distributed Software Development","E. W. dos Santos; I. Nunes","Universidade Federal do Rio Grande do Sul (UFRGS), Porto Alegre, Brazil","Proceedings of the 31st Brazilian Symposium on Software Engineering","20180215","2017","","","84","93","<p>Code review is a potential means of improving software quality. To be effective, it depends on different factors, and many have been investigated in the literature to identify the scenarios in which it adds quality to the final code. However, factors associated with distributed software development, which is becoming increasingly common, have been little explored. Geographic distance can impose additional challenges to the reviewing process. We thus in this paper present the results of a quantitative study of the effectiveness of code review in a distributed software project involving 201 members. We investigate factors that can potentially influence the outcomes of peer code review. Our results show that a high number of changed lines of code tends to increase the review duration with a reduced number of messages, while the number of involved teams, locations, and participant reviewers generally improve reviewer contributions, but with a severe penalty to the duration.</p>","","","10.1145/3131151.3131161","","","Code Review;Distributed Software Development;Empirical Study","","","","","","","","","","","20-22 Sept. 2017","","ACM","ACM Conferences"
"Semantics-assisted code review: An efficient tool chain and a user study","M. Menarini; Y. Yan; W. G. Griswold","Department of Computer Science and Engineering, University of California at San Diego, La Jolla, CA, USA","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","20171123","2017","","","554","565","Code changes are often reviewed before they are deployed. Popular source control systems aid code review by presenting textual differences between old and new versions of the code, leaving developers with the difficult task of determining whether the differences actually produced the desired behavior. Fortunately, we can mine such information from code repositories. We propose aiding code review with inter-version semantic differential analysis. During review of a new commit, a developer is presented with summaries of both code differences and behavioral differences, which are expressed as diffs of likely invariants extracted by running the system's test cases. As a result, developers can more easily determine that the code changes produced the desired effect. We created an invariant-mining tool chain, Getty, to support our concept of semantically-assisted code review. To validate our approach, 1) we applied Getty to the commits of 6 popular open source projects, 2) we assessed the performance and cost of running Getty in different configurations, and 3) we performed a comparative user study with 18 developers. Our results demonstrate that semantically-assisted code review is feasible, effective, and that real programmers can leverage it to improve the quality of their reviews.","","Electronic:978-1-5386-2684-9; POD:978-1-5386-3976-4","10.1109/ASE.2017.8115666","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115666","Software behavior;code review;dynamic impact analysis;likely invariants;mining software repository;scalability;software testing","Computer bugs;Navigation;Semantics;Software;Testing;Tools","Internet;data mining;project management;software maintenance","code changes;code differences;code repositories;inter-version semantic differential analysis;invariant-mining tool chain;semantic-assisted code review","","","","","","","","Oct. 30 2017-Nov. 3 2017","","IEEE","IEEE Conferences"
"SentiCR: A customized sentiment analysis tool for code review interactions","T. Ahmed; A. Bosu; A. Iqbal; S. Rahimi","Department of Computer Science & Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladeshi","2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE)","20171123","2017","","","106","111","Sentiment Analysis tools, developed for analyzing social media text or product reviews, work poorly on a Software Engineering (SE) dataset. Since prior studies have found developers expressing sentiments during various SE activities, there is a need for a customized sentiment analysis tool for the SE domain. On this goal, we manually labeled 2000 review comments to build a training dataset and used our dataset to evaluate seven popular sentiment analysis tools. The poor performances of the existing sentiment analysis tools motivated us to build SentiCR, a sentiment analysis tool especially designed for code review comments. We evaluated SentiCR using one hundred 10-fold cross-validations of eight supervised learning algorithms. We found a model, trained using the Gradient Boosting Tree (GBT) algorithm, providing the highest mean accuracy (83%), the highest mean precision (67.8%), and the highest mean recall (58.4%) in identifying negative review comments.","","Electronic:978-1-5386-2684-9; POD:978-1-5386-3976-4","10.1109/ASE.2017.8115623","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8115623","","Algorithm design and analysis;Dictionaries;Sentiment analysis;Social network services;Supervised learning;Tools;Training","learning (artificial intelligence);natural language processing;pattern classification;social networking (online);text analysis;trees (mathematics)","GBT algorithm;SE activities;SE domain;SentiCR;code review comments;code review interactions;customized sentiment analysis tool;gradient boosting tree algorithm;negative review comments;social media text;software engineering dataset","","","","","","","","Oct. 30 2017-Nov. 3 2017","","IEEE","IEEE Conferences"
"How is IF Statement Fixed Through Code Review? A Case Study of Qt Project","Y. Ueda; A. Ihara; T. Hirao; T. Ishio; K. Matsumoto","Grad. Sch. of Inf. Sci., Nara Inst. of Sci. & Technol., Nara, Japan","2017 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW)","20171116","2017","","","207","213","Peer code review is key to ensuring the absence of software defects. To improve the review process, many code review tools provide OSS(Open Source Software) project CI(Continuous Integration) tests that automatically verify code quality issues such as a code convention issues. However, these tests do not cover project policy issues and a code readability issues. In this study, our main goal is to understand how a code owner fixes conditional statement issues based on reviewers feedback. We conduct an empirical study to understand if statement changes after review. Using 69,325 review requests in the Qt project, we analyze changes of the if conditional statements that (1) are requested to be reviewed, and (2) that are implemented after review. As a result, we find the most common symbolic changes are ""("" and "")"" (35%), ""!"" operator (20%) and ""->"" operator (12%). Also, ""!"" operator is frequently replaced with ""("" and "")"".","","Electronic:978-1-5386-2387-9; POD:978-1-5386-2388-6","10.1109/ISSREW.2017.32","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8109285","code review;conditional statement;fix detection;if statement;static code analysis","Data mining;Itemsets;Manuals;Programming;Software;Syntactics;Tools","program debugging;program testing;program verification;project management;public domain software;software quality;source code (software)","CI;OSS;Qt project;code convention;code quality verification;code readability;code review tools;continuous integration;open source software;peer code review;project policy;review process;reviewers feedback;software defects","","","","","","","","23-26 Oct. 2017","","IEEE","IEEE Conferences"
