Document Title,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page
Eye movements in code review,Microsoft Research,Proceedings of the Workshop on Eye Movements in Programming,20180614,2018,,,1,5
"CFar: A Tool to Increase Communication, Productivity, and Review Quality in Collaborative Code Reviews","University of Memphis, Memphis, TN, USA",Proceedings of the 2018 CHI Conference on Human Factors in Computing Systems,20180426,2018,,,1,13
Diggit: Automated code review via software repository mining,"Imperial College London, 180 Queen's Gate, London, UK","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)",20180405,2018,,,567,571
"Review participation in modern code review: An empirical study of the Android, Qt, and OpenStack projects (journal-first abstract)","The University of Adelaide, McGill University, Queen's University, Nara Institute of Science and Technology","2018 IEEE 25th International Conference on Software Analysis, Evolution and Reengineering (SANER)",20180405,2018,,,475,475
Multi-Perspective Visualization to Assist Code Change Review,"State Key Lab. of Software Eng., Wuhan Univ., Wuhan, China",2017 24th Asia-Pacific Software Engineering Conference (APSEC),20180305,2017,,,564,569
Comparing sequential and parallel code review techniques for formative feedback,"University of Auckland, Auckland, New Zealand",Proceedings of the 20th Australasian Computing Education Conference,20180301,2018,,,45,52
Investigating the Effectiveness of Peer Code Review in Distributed Software Development,"Universidade Federal do Rio Grande do Sul (UFRGS), Porto Alegre, Brazil",Proceedings of the 31st Brazilian Symposium on Software Engineering,20180215,2017,,,84,93
Semantics-assisted code review: An efficient tool chain and a user study,"Department of Computer Science and Engineering, University of California at San Diego, La Jolla, CA, USA",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),20171123,2017,,,554,565
SentiCR: A customized sentiment analysis tool for code review interactions,"Department of Computer Science & Engineering, Bangladesh University of Engineering and Technology, Dhaka, Bangladeshi",2017 32nd IEEE/ACM International Conference on Automated Software Engineering (ASE),20171123,2017,,,106,111
How is IF Statement Fixed Through Code Review? A Case Study of Qt Project,"Grad. Sch. of Inf. Sci., Nara Inst. of Sci. & Technol., Nara, Japan",2017 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),20171116,2017,,,207,213
WAP: Does Reviewer Age Affect Code Review Performance?,"Grad. Sch. of Sci. & Eng., Kindai Univ., Higashi-Osaka, Japan",2017 IEEE 28th International Symposium on Software Reliability Engineering (ISSRE),20171116,2017,,,164,169
Refactoring-aware code review,"Apple Inc., USA",2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),20171113,2017,,,71,79
Evaluating how static analysis tools can reduce code review effort,"Department of Computer Science, North Carolina State University",2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC),20171113,2017,,,101,105
A Large-Scale Study of Modern Code Review and Security in Open Source Projects,"University of California, Berkeley",Proceedings of the 13th International Conference on Predictive Models and Data Analytics in Software Engineering,20171107,2017,,,83,92
On the Optimal Order of Reading Source Code Changes for Review,"FG Software Eng., Leibniz Univ. Hannover, Hannover, Germany",2017 IEEE International Conference on Software Maintenance and Evolution (ICSME),20171107,2017,,,329,340
Confusion Detection in Code Reviews,"Fed. Univ. of Pernambuco, Recife, Brazil",2017 IEEE International Conference on Software Maintenance and Evolution (ICSME),20171107,2017,,,549,553
Continuous Code Reviews: A Social Coding tool for Code Reviews inside the IDE,"Hasso Plattner Institute, University of Potsdam, Potsdam, Germany","Companion to the first International Conference on the Art, Science and Engineering of Programming",20170914,2017,,,1,3
Interactively Decomposing Composite Changes to Support Code Review and Regression Testing,"Dept. of Comput. Sci., Univ. of Nebraska, Omaha, NE, USA",2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),20170911,2017,1,,118,127
Tool Support for Managing Clone Refactorings to Facilitate Code Review in Evolving Software,"Univ. of Nebraska, Omaha, NE, USA",2017 IEEE 41st Annual Computer Software and Applications Conference (COMPSAC),20170911,2017,1,,288,297
