Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,page_num
A qualitative study on performance bugs,S. Zaman; B. Adams; A. E. Hassan,"SAIL, Queen's University, Canada",2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,199,208,"Software performance is one of the important qualities that makes software stand out in a competitive market. However, in earlier work we found that performance bugs take more time to fix, need to be fixed by more experienced developers and require changes to more code than non-performance bugs. In order to be able to improve the resolution of performance bugs, a better understanding is needed of the current practice and shortcomings of reporting, reproducing, tracking and fixing performance bugs. This paper qualitatively studies a random sample of 400 performance and non-performance bug reports of Mozilla Firefox and Google Chrome across four dimensions (Impact, Context, Fix and Fix validation). We found that developers and users face problems in reproducing performance bugs and have to spend more time discussing performance bugs than other kinds of bugs. Sometimes performance regressions are tolerated as a tradeoff to improve something else.",2160-1852;21601852,Electronic:978-1-4673-1761-0; POD:978-1-4673-1760-3,10.1109/MSR.2012.6224281,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224281,Chromium;Mozilla Firefox;Performance bugs;qualitative study,Browsers;Computer bugs;Context;Fires;Google;Software;Switches,program debugging,Google Chrome;Mozilla Firefox;context;fix validation;impact;non-performance bugs;performance bugs;performance regressions;qualitative study;software performance,,23,,24,,,,2-3 June 2012,,IEEE,IEEE Conferences,,9
An empirical investigation of changes in some software properties over time,J. Gil; M. Goldstein; D. Moshkovich,The Technion - Israel Institute of Technology,2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,227,236,"Software metrics are easy to define, but not so easy to justify. It is hard to prove that a metric is valid, i.e., that measured numerical values imply anything on the vaguely defined, yet crucial software properties such as complexity and maintainability. This paper employs statistical analysis and tests to check some plausible assumptions on the behavior of software and metrics measured for this software in retrospective on its versions evolution history. Among those are the reliability assumption implicit in the application of any code metric, and the assumption that the magnitude of change, i.e., increase or decrease of its size, in a software artifact is correlated with changes to its version number. Putting a suite of 36 metrics to the trial, we confirm most of the assumptions on a large repository of software artifacts. Surprisingly, we show that a substantial portion of the reliability of some metrics can be observed even in random changes to architecture. Another surprising result is that Boolean-valued metrics tend to flip their values more often in minor software version increments than in major increments.",2160-1852;21601852,Electronic:978-1-4673-1761-0; POD:978-1-4673-1760-3,10.1109/MSR.2012.6224285,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224285,,Java;Measurement;Software reliability;Software systems;Taxonomy,Boolean functions;configuration management;software architecture;software metrics;statistical analysis,Boolean-valued metrics;numerical values;software architecture;software artifact;software metrics;software properties over time;software version increments;statistical analysis;statistical tests;version number;versions evolution history,,1,,16,,,,2-3 June 2012,,IEEE,IEEE Conferences,,9
An empirical study of supplementary bug fixes,J. Park; M. Kim; B. Ray; D. H. Bae,Korea Advanced Institute of Science and Technology,2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,40,49,"A recent study finds that errors of omission are harder for programmers to detect than errors of commission. While several change recommendation systems already exist to prevent or reduce omission errors during software development, there have been very few studies on why errors of omission occur in practice and how such errors could be prevented. In order to understand the characteristics of omission errors, this paper investigates a group of bugs that were fixed more than once in open source projects - those bugs whose initial patches were later considered incomplete and to which programmers applied supplementary patches. Our study on Eclipse JDT core, Eclipse SWT, and Mozilla shows that a significant portion of resolved bugs (22% to 33%) involves more than one fix attempt. Our manual inspection shows that the causes of omission errors are diverse, including missed porting changes, incorrect handling of conditional statements, or incomplete refactorings, etc. While many consider that missed updates to code clones often lead to omission errors, only a very small portion of supplementary patches (12% in JDT, 25% in SWT, and 9% in Mozilla) have a content similar to their initial patches. This implies that supplementary change locations cannot be predicted by code clone analysis alone. Furthermore, 14% to 15% of files in supplementary patches are beyond the scope of immediate neighbors of their initial patch locations - they did not overlap with the initial patch locations nor had direct structural dependencies on them (e.g. calls, accesses, subtyping relations, etc.). These results call for new types of omission error prevention approaches that complement existing change recommendation systems.",2160-1852;21601852,Electronic:978-1-4673-1761-0; POD:978-1-4673-1760-3,10.1109/MSR.2012.6224298,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224298,bug fixes;empirical study;patches;software evolution,Cloning;Computer bugs;Databases;Dispersion;Entropy;History;Manuals,inspection;program debugging;project management;public domain software;recommender systems;software maintenance,Eclipse JDT core;Eclipse SWT;Mozilla;change recommendation system;code clone analysis;conditional statement handling;manual inspection;omission error detection;omission error prevention approach;open source project;software development;supplementary bug fixes;supplementary patch,,7,2,26,,,,2-3 June 2012,,IEEE,IEEE Conferences,,9
Analysis of customer satisfaction survey data,P. Rotella; S. Chulani,"Cisco Systems, Inc. - 7200 Kit Creek Road, Research Triangle Park, NC, USA 27709",2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,88,97,"Cisco Systems, Inc., conducts a customer satisfaction survey (CSAT) each year to gauge customer sentiment regarding Cisco products, technical support, partner- and Cisco-provided technical services, order fulfillment, and a number of other aspects of the companys business. The results of the analysis of this data are used for several purposes, including ascertaining the viability of new products, determining if customer support objectives are being met, setting engineering in-process and customer experience yearly metrics goals, and assessing, indirectly, the success of engineering initiatives. Analyzing this data, which includes 110,000 yearly sets of survey responses that address over 100 product and services categories, is in many respects complicated. For example, skip logic is an integral part of the survey mechanics, and forming aggregate views of customer sentiment is statistically challenging in this data environment. In this paper, we describe several of the various analysis approaches currently used, pointing out some situations where a high level of precision is not easily achieved, and some situations in which it is possible to easily end up with erroneous results. The analysis and statistical territory covered in this paper is in parts well-known and straightforward, but other parts, which we address, are susceptible to large inaccuracies and errors. We address several of these difficulties and develop reasonable solutions for two known issues, high missing value levels and high colinearity of independent variables.",2160-1852;21601852,Electronic:978-1-4673-1761-0; POD:978-1-4673-1760-3,10.1109/MSR.2012.6224304,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224304,CSAT survey (customer satisfaction survey);colinearity;customer satisfaction;data imputation;dominance analysis;listwise deletion;mean substitution;missing values,Analytical models;Couplings;Customer satisfaction;Mathematical model;Measurement;Software,consumer behaviour;customer satisfaction;data analysis;statistical analysis;surveying;technical support services,CSAT survey;Cisco Systems Inc;Cisco products;Cisco-provided technical services;company business;customer experience yearly metrics goals;customer satisfaction survey data analysis;customer sentiment;customer support objectives;engineering initiatives;skip logic;statistical territory;survey mechanics;technical support,,2,,26,,,,2-3 June 2012,,IEEE,IEEE Conferences,,9
Can we predict types of code changes? An empirical analysis,E. Giger; M. Pinzger; H. C. Gall,University of Zurich,2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,217,226,"There exist many approaches that help in pointing developers to the change-prone parts of a software system. Although beneficial, they mostly fall short in providing details of these changes. Fine-grained source code changes (SCC) capture such detailed code changes and their semantics on the statement level. These SCC can be condition changes, interface modifications, inserts or deletions of methods and attributes, or other kinds of statement changes. In this paper, we explore prediction models for whether a source file will be affected by a certain type of SCC. These predictions are computed on the static source code dependency graph and use social network centrality measures and object-oriented metrics. For that, we use change data of the Eclipse platform and the Azureus 3 project. The results show that Neural Network models can predict categories of SCC types. Furthermore, our models can output a list of the potentially change-prone files ranked according to their change-proneness, overall and per change type category.",2160-1852;21601852,Electronic:978-1-4673-1761-0; POD:978-1-4673-1760-3,10.1109/MSR.2012.6224284,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224284,Machine Learning;Software maintenance;Software quality,Artificial neural networks;Computational modeling;Correlation;Measurement;Object oriented modeling;Predictive models;Semantics,learning (artificial intelligence);neural nets;object-oriented methods;software maintenance;software metrics;software quality,Azureus 3 project;Eclipse platform;SCC;change-prone file;change-proneness;condition change;fine-grained source code change;interface modification;machine learning;neural network model;object-oriented metrics;prediction model;semantics;social network centrality measures;software maintenance;software quality;software system;source file;statement change;statement level;static source code dependency graph,,19,,41,,,,2-3 June 2012,,IEEE,IEEE Conferences,,9
Discovering complete API rules with mutation testing,A. C. Nguyen; S. C. Khoo,"Department of Computer Science, National University of Singapore, Singapore, Singapore",2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,151,160,"Specifications are important for many activities during software construction and maintenance process such as testing, verification, debugging and repairing. Despite their importance, specifications are often missing, informal or incomplete because they are difficult to write manually. Many techniques have been proposed to automatically mine specifications describing method call sequence from execution traces or source code using frequent pattern mining. Unfortunately, a sizeable number of such _ÑÒinteresting_Ñù specifications discovered by frequent pattern mining may not capture the correct use patterns of method calls. Consequently, when used in software testing or verification, these mined specifications lead to many false positive defects, which in turn consume much effort for manual investigation. We present a novel framework for automatically discovering legitimate specifications from execution traces using a mutation testing based approach. Such an approach gives a semantics bearing to the legitimacy of the discovered specifications. We introduce the notion of maximal precision and completeness as the desired forms of discovered specifications, and describe in detail suppression techniques that aid efficient discovery. Preliminary evaluation of this approach on several open source software projects shows that specifications discovered through our approach, compared with those discovered through frequent pattern mining, are much more precise and complete. When used in finding bugs, our specifications also locate defects with significantly fewer false positives and more true positives.",2160-1852;21601852,Electronic:978-1-4673-1761-0; POD:978-1-4673-1760-3,10.1109/MSR.2012.6224275,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224275,formal specifications;mutation testing;specification mining,Computer bugs;Data mining;Java;Open source software;Semantics;Testing,application program interfaces;data mining;formal specification;formal verification;legislation;program testing;public domain software;software maintenance;source coding,API rule;automatic mine specification;call sequence;execution trace;false positive defect;frequent pattern mining;legitimate specification;mutation testing;open source software;semantics;software construction;software maintenance;software testing;software verification;source code;suppression technique,,0,,23,,,,2-3 June 2012,,IEEE,IEEE Conferences,,9
Do faster releases improve software quality? An empirical case study of Mozilla Firefox,F. Khomh; T. Dhaliwal; Y. Zou; B. Adams,"Dept. of Elec. and Comp. Engineering, Queen's University, Kingston, Ontario, Canada",2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,179,188,"Nowadays, many software companies are shifting from the traditional 18-month release cycle to shorter release cycles. For example, Google Chrome and Mozilla Firefox release new versions every 6 weeks. These shorter release cycles reduce the users' waiting time for a new release and offer better marketing opportunities to companies, but it is unclear if the quality of the software product improves as well, since shorter release cycles result in shorter testing periods. In this paper, we empirically study the development process of Mozilla Firefox in 2010 and 2011, a period during which the project transitioned to a shorter release cycle. We compare crash rates, median uptime, and the proportion of post-release bugs of the versions that had a shorter release cycle with those having a traditional release cycle, to assess the relation between release cycle length and the software quality observed by the end user. We found that (1) with shorter release cycles, users do not experience significantly more post-release bugs and (2) bugs are fixed faster, yet (3) users experience these bugs earlier during software execution (the program crashes earlier).",2160-1852;21601852,Electronic:978-1-4673-1761-0; POD:978-1-4673-1760-3,10.1109/MSR.2012.6224279,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224279,Software release;bugs;release cycle;software quality;testing,Companies;Computer bugs;Data mining;Fires;Software quality,configuration management;online front-ends;program debugging;software houses;software process improvement;software quality,Mozilla Firefox;post-release bugs;release cycle length;software companies;software execution;software product quality improvement;software versions;user waiting time reduction,,34,,35,,,,2-3 June 2012,,IEEE,IEEE Conferences,,9
Explaining software defects using topic models,T. H. Chen; S. W. Thomas; M. Nagappan; A. E. Hassan,"Software Analysis and Intelligence Lab (SAIL), School of Computing, Queen's University, Canada",2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,189,198,"Researchers have proposed various metrics based on measurable aspects of the source code entities (e.g., methods, classes, files, or modules) and the social structure of a software project in an effort to explain the relationships between software development and software defects. However, these metrics largely ignore the actual functionality, i.e., the conceptual concerns, of a software system, which are the main technical concepts that reflect the business logic or domain of the system. For instance, while lines of code may be a good general measure for defects, a large entity responsible for simple I/O tasks is likely to have fewer defects than a small entity responsible for complicated compiler implementation details. In this paper, we study the effect of conceptual concerns on code quality. We use a statistical topic modeling technique to approximate software concerns as topics; we then propose various metrics on these topics to help explain the defect-proneness (i.e., quality) of the entities. Paramount to our proposed metrics is that they take into account the defect history of each topic. Case studies on multiple versions of Mozilla Firefox, Eclipse, and Mylyn show that (i) some topics are much more defect-prone than others, (ii) defect-prone topics tend to remain so over time, and (iii) defect-prone topics provide additional explanatory power for code quality over existing structural and historical metrics.",2160-1852;21601852,Electronic:978-1-4673-1761-0; POD:978-1-4673-1760-3,10.1109/MSR.2012.6224280,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224280,code quality;software concerns;topic modeling,Correlation;Fires;History;Java;Measurement;Software systems,software fault tolerance;software metrics;software quality;statistical analysis,Eclipse;I/O tasks;Mozilla Firefox;Mylyn;business logic;code lines;code quality;defect-proneness;historical metrics;software defects;software development;software project;source code entities;statistical topic modeling technique;structural metrics,,10,,38,,,,2-3 June 2012,,IEEE,IEEE Conferences,,9
GHTorrent: Github's data from a firehose,G. Gousios; D. Spinellis,"Department of Management Science and Technology, Athens University of Economics and Business, Athens, Greece",2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,12,21,"A common requirement of many empirical software engineering studies is the acquisition and curation of data from software repositories. During the last few years, GitHub has emerged as a popular project hosting, mirroring and collaboration platform. GitHub provides an extensive REST API, which enables researchers to retrieve both the commits to the projects' repositories and events generated through user actions on project resources. GHTorrent aims to create a scalable off line mirror of GitHub's event streams and persistent data, and offer it to the research community as a service. In this paper, we present the project's design and initial implementation and demonstrate how the provided datasets can be queried and processed.",2160-1852;21601852,Electronic:978-1-4673-1761-0; POD:978-1-4673-1760-3,10.1109/MSR.2012.6224294,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224294,GitHub;commits;dataset;events;repository,Communities;Distributed databases;Electronic mail;Organizations;Peer to peer computing;Protocols,application program interfaces;data acquisition;public domain software;software engineering;storage management,GHTorrent;Github data;REST API;collaboration platform;data acquisition;data curation;mirroring platform;open source software;project hosting platform;project resources;software engineering studies;software repositories;user actions,,21,,24,,,,2-3 June 2012,,IEEE,IEEE Conferences,,9
Green mining: A methodology of relating software change to power consumption,A. Hindle,"Department of Computing Science, University of Alberta, Edmonton, Canada",2012 9th IEEE Working Conference on Mining Software Repositories (MSR),20120625,2012,,,78,87,"Power consumption is becoming more and more important with the increased popularity of smart-phones, tablets and laptops. The threat of reducing a customer's battery-life now hangs over the software developer who asks, _ÑÒwill this next change be the one that causes my software to drain a customer's battery?_Ñù One solution is to detect power consumption regressions by measuring the power usage of tests, but this is time-consuming and often noisy. An alternative is to rely on software metrics that allow us to estimate the impact that a change might have on power consumption thus relieving the developer from expensive testing. This paper presents a general methodology for investigating the impact of software change on power consumption, we relate power consumption to software changes, and then investigate the impact of static OO software metrics on power consumption. We demonstrated that software change can effect power consumption using the Firefox web-browser and the Azureus/Vuze BitTorrent client. We found evidence of a potential relationship between some software metrics and power consumption. In conclusion, we explored the effect of software change on power consumption on two projects; and we provide an initial investigation on the impact of software metrics on power consumption.",2160-1852;21601852,Electronic:978-1-4673-1761-0; POD:978-1-4673-1760-3,10.1109/MSR.2012.6224303,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6224303,dynamic analysis;mining software repositories;power;power consumption;software metrics;sustainable-software,Data mining;Fires;Mobile communication;Power demand;Power measurement;Software;Software metrics,mobile computing;power aware computing;power consumption;software metrics,Azureus/Vuze BitTorrent client;Firefox web-browser;green mining;power consumption regressions;software change;software metrics,,25,,19,,,,2-3 June 2012,,IEEE,IEEE Conferences,,9
