Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,
Runtime Verification for LTL and TLTL,A. Bauer; M. Leucker; C. Schallhart,NICTA and Australian National University,ACM Transactions on Software Engineering and Methodology (TOSEM),20121018,2011,20,4,1,64,"<p>This article studies runtime verification of properties expressed either in lineartime temporal logic (LTL) or timed lineartime temporal logic (TLTL). It classifies runtime verification in identifying its distinguishing features to model checking and testing, respectively. It introduces a three-valued semantics (with truth values <i>true, false, inconclusive</i>) as an adequate interpretation as to whether a partial observation of a running system meets an LTL or TLTL property.</p> <p>For LTL, a conceptually simple monitor generation procedure is given, which is <i>optimal</i> in two respects: First, the size of the generated deterministic monitor is <i>minimal</i>, and, second, the monitor identifies a continuously monitored trace as either satisfying or falsifying a property <i>as early as possible</i>. The feasibility of the developed methodology is demontrated using a collection of real-world temporal logic specifications. Moreover, the presented approach is related to the properties monitorable in general and is compared to existing concepts in the literature. It is shown that the set of <i>monitorable properties</i> does not only encompass the <i>safety</i> and <i>cosafety</i> properties but is strictly larger.</p> <p>For TLTL, the same road map is followed by first defining a three-valued semantics. The corresponding construction of a timed monitor is more involved, yet, as shown, possible.</p>",1049-331X;1049331X,,10.1145/2000799.2000800,,,Assertion checkers;monitors;runtime verification,,,,,40,,,,,,11-Sep,,ACM,ACM Journals & Magazines,,63
Impact-Driven Process Model Repair,A. Polyvyanyy; W. M. P. V. D. Aalst; A. H. M. T. Hofstede; M. T. Wynn,"Queensland University of Technology, Brisbane, Australia",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2016,25,4,1,60,"<p>The abundance of event data in todayäó»s information systems makes it possible to äóìconfrontäóù process models with the actual observed behavior. Process mining techniques use event logs to discover process models that describe the observed behavior, and to check conformance of process models by diagnosing deviations between models and reality. In many situations, it is desirable to mediate between a preexisting model and observed behavior. Hence, we would like to repair the model while improving the correspondence between model and log as much as possible. The approach presented in this article assigns predefined costs to repair actions (allowing inserting or skipping of activities). Given a maximum degree of change, we search for models that are optimal in terms of fitnessäóîthat is, the fraction of behavior in the log not possible according to the model is minimized. To compute fitness, we need to align the model and log, which can be time consuming. Hence, finding an optimal repair may be intractable. We propose different alternative approaches to speed up repair. The number of alignment computations can be reduced dramatically while still returning near-optimal repairs. The different approaches have been implemented using the process mining framework ProM and evaluated using real-life logs.</p>",1049-331X;1049331X,,10.1145/2980764,,,Process mining;event log;process model;process model repair;repair recommendation,,,,,1,,,,,,16-Oct,,ACM,ACM Journals & Magazines,,59
Bounded satisfiability checking of metric temporal logic specifications,M. Pradella; A. Morzenti; P. S. Pietro,"DEIB, Politecnico di Milano, Italy",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2013,22,3,1,54,"<p>We introduce bounded satisfiability checking, a verification technique that extends bounded model checking by allowing also the analysis of a <i>descriptive model</i>, consisting of temporal logic formulae, instead of the more customary <i>operational model</i>, consisting of a state transition system. We define techniques for encoding temporal logic formulae into Boolean logic that support the use of bi-infinite time domain and of metric time operators. In the framework of bounded satisfiability checking, we show how a descriptive model can be refined into an operational one, and how the correctness of such a refinement can be verified for the bounded case, setting the stage for a stepwise system development method based on a bounded model refinement. Finally, we show how the adoption of a modular approach can make the bounded refinement process more manageable and efficient. All introduced concepts are extensively applied to a set of case studies, and thoroughly experimented through Zot, our SAT solver-based verification toolset.</p>",1049-331X;1049331X,,10.1145/2491509.2491514,,,Formal methods;bi-infinite time;bounded model checking;refinement;temporal logic,,,,,5,,,,,,13-Jul,,ACM,ACM Journals & Magazines,,53
Multi-Criteria Code Refactoring Using Search-Based Software Engineering: An Industrial Case Study,A. Ouni; M. Kessentini; H. Sahraoui; K. Inoue; K. Deb,Osaka University,ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2016,25,3,1,53,"<p>One of the most widely used techniques to improve the quality of existing software systems is refactoringäóîthe process of improving the design of existing code by changing its internal structure without altering its external behavior. While it is important to suggest refactorings that improve the quality and structure of the system, many other criteria are also important to consider, such as reducing the number of code changes, preserving the semantics of the software design and not only its behavior, and maintaining consistency with the previously applied refactorings. In this article, we propose a multi-objective search-based approach for automating the recommendation of refactorings. The process aims at finding the optimal sequence of refactorings that (i) improves the quality by minimizing the number of design defects, (ii) minimizes code changes required to fix those defects, (iii) preserves design semantics, and (iv) maximizes the consistency with the previously code changes. We evaluated the efficiency of our approach using a benchmark of six open-source systems, 11 different types of refactorings (move method, move field, pull up method, pull up field, push down method, push down field, inline class, move class, extract class, extract method, and extract interface) and six commonly occurring design defect types (blob, spaghetti code, functional decomposition, data class, shotgun surgery, and feature envy) through an empirical study conducted with experts. In addition, we performed an industrial validation of our technique, with 10 software engineers, on a large project provided by our industrial partner. We found that the proposed refactorings succeed in preserving the design coherence of the code, with an acceptable level of code change score while reusing knowledge from recorded refactorings applied in the past to similar contexts.</p>",1049-331X;1049331X,,10.1145/2932631,,,Search-based software engineering;multi-objective optimization;refactoring;software evolution;software maintenance,,,,,1,,,,,,16-Aug,,ACM,ACM Journals & Magazines,,52
aToucan: An Automated Framework to Derive UML Analysis Models from Use Case Models,T. Yue; L. C. Briand; Y. Labiche,"Simula Research Laboratory and University of Oslo, Olso, Norway",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2015,24,3,1,52,"<p>The transition from an informal requirements specification in natural language to a structured, precise specification is an important challenge in practice. It is particularly so for object-oriented methods, defined in the context of the OMG's Model Driven Architecture (MDA), where a key step is to transition from a use case model to an analysis model. However, providing automated support for this transition is challenging, mostly because, in practice, requirements are expressed in natural language and are much less structured than other kinds of development artifacts. Such an automated transformation would enable at least the generation of an initial, likely incomplete, analysis model and enable automated traceability from requirements to code, through various intermediate models. In this article, we propose a method and a tool called aToucan, building on existing work, to automatically generate a UML analysis model comprising class, sequence and activity diagrams from a use case model and to automatically establish traceability links between model elements of the use case model and the generated analysis model. Note that our goal is to save effort through automated support, not to replace human abstraction and decision making.</p> <p>Seven (six) case studies were performed to compare class (sequence) diagrams generated by aToucan to the ones created by experts, Masters students, and trained, fourth-year undergraduate students. Results show that aToucan performs well regarding consistency (e.g., 88&percnt; class diagram consistency) and completeness (e.g., 80&percnt; class completeness) when comparing generated class diagrams with reference class diagrams created by experts and Masters students. Similarly, sequence diagrams automatically generated by aToucan are highly consistent with the ones devised by experts and are also rather complete, for instance, 91&percnt; and 97&percnt; message consistency and complete- ess, respectively. Further, statistical tests show that aToucan significantly outperforms fourth-year engineering students in this respect, thus demonstrating the value of automation. We also conducted two industrial case studies demonstrating the applicability of aToucan in two different industrial domains. Results showed that the vast majority of model elements generated by aToucan are correct and that therefore, in practice, such models would be good initial models to refine and augment so as to converge towards to correct and complete analysis models. A performance analysis shows that the execution time of aToucan (when generating class and sequence diagrams) is dependent on the number of simple sentences contained in the use case model and remains within a range of a few minutes. Five different software system descriptions (18 use cases altogether) were performed to evaluate the generation of activity diagrams. Results show that aToucan can generate 100&percnt; complete and correct control flow information of activity diagrams and on average 85&percnt; data flAow information completeness. Moreover, we show that aToucan outperforms three commercial tools in terms of activity diagram generation.</p>",1049-331X;1049331X,,10.1145/2699697,,,UML;Use case modeling;activity diagram;analysis model;automation;class diagram;sequence diagram;traceability;transformation,,,,,5,,,,,,15-May,,ACM,ACM Journals & Magazines,,51
An in-depth study of the potentially confounding effect of class size in fault prediction,Y. Zhou; B. Xu; H. Leung; L. Chen,Nanjing University,ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,1,1,51,"<p><i>Background</i>. The extent of the potentially confounding effect of class size in the fault prediction context is not clear, nor is the method to remove the potentially confounding effect, or the influence of this removal on the performance of fault-proneness prediction models. <i>Objective</i>. We aim to provide an in-depth understanding of the effect of class size on the true associations between object-oriented metrics and fault-proneness. <i>Method</i>. We first employ statistical methods to examine the extent of the potentially confounding effect of class size in the fault prediction context. After that, we propose a linear regression-based method to remove the potentially confounding effect. Finally, we empirically investigate whether this removal could improve the prediction performance of fault-proneness prediction models. <i>Results</i>. Based on open-source software systems, we found: (a) the confounding effect of class size on the associations between object-oriented metrics and fault-proneness in general exists; (b) the proposed linear regression-based method can effectively remove the confounding effect; and (c) after removing the confounding effect, the prediction performance of fault prediction models with respect to both ranking and classification can in general be significantly improved. <i>Conclusion</i>. We should remove the confounding effect of class size when building fault prediction models.</p>",1049-331X;1049331X,,10.1145/2556777,,,Metrics;class size;confounding effect;fault;prediction,,,,,7,,,,,,14-Feb,,ACM,ACM Journals & Magazines,,50
ADAM: External dependency-driven architecture discovery and analysis of quality attributes,D. Ganesan; M. Lindvall,"Fraunhofer Center for Experimental Software Engineering, College Park",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,2,1,51,"<p>This article introduces the Architecture Discovery and Analysis Method (ADAM). ADAM supports the discovery of module and runtime views as well as the analysis of quality attributes, such as testability, performance, and maintainability, of software systems. The premise of ADAM is that the implementation constructs, architecture constructs, concerns, and quality attributes are all influenced by the external entities (e.g., libraries, frameworks, COTS software) used by the system under analysis. The analysis uses such external dependencies to identify, classify, and review a minimal set of key source-code files supported by a knowledge base of the external entities. Given the benefits of analyzing external dependencies as a way to discover architectures and potential risks, it is demonstrated that dependencies to external entities are useful not only for architecture discovery but also for analysis of quality attributes. ADAM is evaluated using the NASA's Space Network Access System (SNAS). The results show that this method offers systematic guidelines for discovering the architecture and locating potential risks (e.g., low testability and decreased performance) that are hidden deep inside the system implementation. Some generally applicable lessons for developers and analysts, as well as threats to validity are also discussed.</p>",1049-331X;1049331X,,10.1145/2529998,,,Concerns;external entities;knowledge base;maintainability;module and runtime views;quality;reverse engineering;software architecture;testability,,,,,,,,,,,14-Mar,,ACM,ACM Journals & Magazines,,50
D<scp>ia</scp>P<scp>ro</scp>: Unifying Dynamic Impact Analyses for Improved and Variable Cost-Effectiveness,H. Cai; R. Santelices; D. Thain,"University of Notre Dame, Notre Dame, IN",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2016,25,2,1,50,"<p>Impact analysis not only assists developers with change planning and management, but also facilitates a range of other client analyses, such as testing and debugging. In particular, for developers working in the context of specific program executions, <i>dynamic</i> impact analysis is usually more desirable than static approaches, as it produces more manageable and relevant results with respect to those concrete executions. However, existing techniques for this analysis mostly lie on two extremes: either fast, but too imprecise, or more precise, yet overly expensive. In practice, both more cost-effective techniques and variable cost-effectiveness trade-offs are in demand to fit a variety of usage scenarios and budgets of impact analysis.</p> <p>This article aims to fill the gap between these two extremes with an array of cost-effective analyses and, more broadly, to explore the cost and effectiveness dimensions in the <i>design space</i> of impact analysis. We present the development and evaluation of D<scp>ia</scp>P<scp>ro</scp>, a framework that unifies a series of impact analyses, including <i>three new hybrid techniques</i> that combine static and dynamic analyses. Harnessing both static dependencies and multiple forms of dynamic data including method-execution events, statement coverage, and dynamic points-to sets, D<scp>ia</scp>P<scp>ro</scp> prunes false-positive impacts with varying strength for variant effectiveness and overheads. The framework also facilitates an in-depth examination of the effects of various program information on the cost-effectiveness of impact analysis.</p> <p>We applied D<scp>ia</scp>P<scp>ro</scp> to ten Java applications in diverse scales and domains, evaluating it thoroughly on both arbitrary and repository-based queries from those applications. We show that the three new analyses are all significantly more effective than existing alternatives while remaining efficient, and the D<scp>ia</scp>P<scp>ro</scp> framework, as a whole- provides flexible cost-effectiveness choices for impact analysis with the best options for variable needs and budgets. Our study results also suggest that hybrid techniques tend to be much more cost-effective than purely dynamic approaches, in general, and that statement coverage has mostly stronger effects than dynamic points-to sets on the cost-effectiveness of dynamic impact analysis, while static dependencies have even stronger effects than both forms of dynamic data.</p>",1049-331X;1049331X,,10.1145/2894751,,,Impact analysis;cost-effectiveness;coverage;dependence analysis;points-to,,,,,,,,,,,16-May,,ACM,ACM Journals & Magazines,,49
Scalable Runtime Bloat Detection Using Abstract Dynamic Slicing,G. Xu; N. Mitchell; M. Arnold; A. Rountev; E. Schonberg; G. Sevitsky,"University of California, Irvine, CA",ACM Transactions on Software Engineering and Methodology (TOSEM),20160129,2014,23,3,1,50,"<p>Many large-scale Java applications suffer from runtime bloat. They execute large volumes of methods and create many temporary objects, all to execute relatively simple operations. There are large opportunities for performance optimizations in these applications, but most are being missed by existing optimization and tooling technology. While JIT optimizations struggle for a few percent improvement, performance experts analyze deployed applications and regularly find gains of 2í„ or more. Finding such big gains is difficult, for both humans and compilers, because of the diffuse nature of runtime bloat. Time is spread thinly across calling contexts, making it difficult to judge how to improve performance. Our experience shows that, in order to identify large performance bottlenecks in a program, it is more important to understand its dynamic dataflow than traditional performance metrics, such as running time.</p> <p>This article presents a general framework for designing and implementing scalable analysis algorithms to find causes of bloat in Java programs. At the heart of this framework is a generalized form of runtime dependence graph computed by <i>abstract dynamic slicing</i>, a semantics-aware technique that achieves high scalability by performing dynamic slicing over bounded abstract domains. The framework is instantiated to create two independent dynamic analyses, <i>copy profiling</i> and <i>cost-benefit analysis</i>, that help programmers identify performance bottlenecks by identifying, respectively, high-volume copy activities and data structures that have high construction cost but low benefit for the forward execution.</p> <p>We have successfully applied these analyses to large-scale and long-running Java applications. We show that both analyses are effective at detecting inefficient operations that can be optimized for better performance. We also demonstrate that the general framework is flexible enough to be instantiated for dynamic analyses in a- variety of application domains.</p>",1049-331X;1049331X,,10.1145/2560047,,,Runtime bloat;abstract dynamic slicing;copy profiling;cost-benefit analysis;dynamic analysis,,,,,3,,,,,,14-May,,ACM,ACM Journals & Magazines,,49
Conditional Commitments: Reasoning and Model Checking,W. E. Kholy; J. Bentahar; M. E. Menshawy; H. Qu; R. Dssouli,"Concordia University, Quebec, Canada",ACM Transactions on Software Engineering and Methodology (TOSEM),20161111,2014,24,2,1,49,"<p>While modeling interactions using social commitments provides a fundamental basis for capturing flexible and declarative interactions and helps in addressing the challenge of ensuring compliance with specifications, the designers of the system cannot guarantee that an agent complies with its commitments as it is supposed to, or at least an agent doesn't want to violate its commitments. They may still wish to develop efficient and scalable algorithms by which model checking conditional commitments, a natural and universal frame of social commitments, is feasible at design time. However, distinguishing between different but related types of conditional commitments, and developing dedicated algorithms to tackle the problem of model checking conditional commitments, is still an active research topic. In this article, we develop the temporal logic CTL<sup><i>cc</i></sup> that extends Computation Tree Logic (CTL) with new modalities which allow representing and reasoning about two types of communicating conditional commitments and their fulfillments using the formalism of interpreted systems. We introduce a set of rules to reason about conditional commitments and their fulfillments. The verification technique is based on developing a new symbolic model checking algorithm to address this verification problem. We analyze the computational complexity and present the full implementation of the developed algorithm on top of the MCMAS model checker. We also evaluate the algorithm's effectiveness and scalability by verifying the compliance of the NetBill protocol, taken from the business domain, and the process of breast cancer diagnosis and treatment, taken from the health-care domain, with specifications expressed in CTL<sup><i>cc</i></sup>. We finally compare the experimental results with existing proposals.</p>",1049-331X;1049331X,,10.1145/2685613,,,Reasoning rules;strong and weak conditional commitments,,,,,1,,,,,,14-Dec,,ACM,ACM Journals & Magazines,,48
