Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,page_num
A Dynamic Slicing Technique for UML Architectural Models,J. T. Lallchandani; R. Mall,"Indian Institute of Technology Kharagpur, WB INDIA",IEEE Transactions on Software Engineering,20111205,2011,37,6,737,771,"This paper proposes a technique for dynamic slicing of UML architectural models. The presence of related information in diverse model parts (or fragments) makes dynamic slicing of Unified Modeling Language (UML) models a complex problem. We first extract all relevant information from a UML model specifying a software architecture into an intermediate representation, which we call a Model Dependency Graph (MDG). For a given slicing criterion, our slicing algorithm traverses the constructed MDG to identify the relevant model parts that are directly or indirectly affected during the execution of a specified scenario. One novelty of our approach is computation of dynamic slice based on the structural and behavioral (interactions only) UML models as against independently processing separate UML models, and determining the implicit interdependencies among different model elements distributed across model views. We also briefly discuss a prototype tool named Archlice, which we have developed to implement our algorithm.",0098-5589;00985589,,10.1109/TSE.2010.112,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5680909,Software architecture;UML;architectural metamodel;dynamic slicing;impact analysis.,Analytical models;Computational modeling;Computer architecture;Heuristic algorithms;Software algorithms;Software architecture;Unified modeling language,Unified Modeling Language;program slicing;software architecture;software prototyping,Archlice;UML architectural models;dynamic slicing technique;model dependency graph;prototype tool;software architecture;unified modeling language models,,10,,46,,,20110106,Nov.-Dec. 2011,,IEEE,IEEE Journals & Magazines,,34
An Analysis and Survey of the Development of Mutation Testing,Y. Jia; M. Harman,"University College London, London",IEEE Transactions on Software Engineering,20110929,2011,37,5,649,678,"Mutation Testing is a fault-based software testing technique that has been widely studied for over three decades. The literature on Mutation Testing has contributed a set of approaches, tools, developments, and empirical results. This paper provides a comprehensive analysis and survey of Mutation Testing. The paper also presents the results of several development trend analyses. These analyses provide evidence that Mutation Testing techniques and tools are reaching a state of maturity and applicability, while the topic of Mutation Testing itself is the subject of increasing interest.",0098-5589;00985589,,10.1109/TSE.2010.62,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5487526,Mutation testing;survey.,Automata;Books;Computer languages;Educational institutions;Fault detection;Genetic mutations;History;Java;Programming profession;Software testing,fault diagnosis;program testing,comprehensive analysis;development trend analysis;empirical results;fault-based software testing technique;mutation testing development;mutation testing technique;mutation testing tool,,317,,264,,,20100617,Sept.-Oct. 2011,,IEEE,IEEE Journals & Magazines,,29
"Assessing, Comparing, and Combining State Machine-Based Testing and Structural Testing: A Series of Experiments",S. Mouchawrab; L. C. Briand; Y. Labiche; M. Di Penta,"Carleton University, Ottawa, Canada",IEEE Transactions on Software Engineering,20110324,2011,37,2,161,187,"A large number of research works have addressed the importance of models in software engineering. However, the adoption of model-based techniques in software organizations is limited since these models are perceived to be expensive and not necessarily cost-effective. Focusing on model-based testing, this paper reports on a series of controlled experiments. It investigates the impact of state machine testing on fault detection in class clusters and its cost when compared with structural testing. Based on previous work showing this is a good compromise in terms of cost and effectiveness, this paper focuses on a specific state-based technique: the round-trip paths coverage criterion. Round-trip paths testing is compared to structural testing, and it is investigated whether they are complementary. Results show that even when a state machine models the behavior of the cluster under test as accurately as possible, no significant difference between the fault detection effectiveness of the two test strategies is observed, while the two test strategies are significantly more effective when combined by augmenting state machine testing with structural testing. A qualitative analysis also investigates the reasons why test techniques do not detect certain faults and how the cost of state machine testing can be brought down.",0098-5589;00985589,,10.1109/TSE.2010.32,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5416729,State-based software testing;controlled experiments;state machines.;structural testing,,fault tolerant computing;finite state machines;program testing;software engineering,fault detection;model based techniques;round trip paths testing;software engineering;software organizations;state machine based testing;structural testing,,25,,69,,,20100218,March-April 2011,,IEEE,IEEE Journals & Magazines,,26
Deriving a Slicing Algorithm via FermaT Transformations,M. P. Ward; H. Zedan,"De Montfort University, Leicester",IEEE Transactions on Software Engineering,20110128,2011,37,1,24,47,"In this paper, we present a case study in deriving an algorithm from a formal specification via FermaT transformations. The general method (which is presented in a separate paper) is extended to a method for deriving an implementation of a program transformation from a specification of the program transformation. We use program slicing as an example transformation since this is of interest outside the program transformation community. We develop a formal specification for program slicing in the form of a WSL specification statement which is refined into a simple slicing algorithm by applying a sequence of general purpose program transformations and refinements. Finally, we show how the same methods can be used to derive an algorithm for semantic slicing. The main novel contributions of this paper are: 1) developing a formal specification for slicing, 2) expressing the definition of slicing in terms of a WSL specification statement, and 3) by applying correctness preserving transformations to the specification, we can derive a simple slicing algorithm.",0098-5589;00985589,,10.1109/TSE.2010.13,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5401170,Program slicing;algorithm derivation.;formal methods;program transformations,,formal specification;program slicing,FermaT transformations;WSL specification statement;program slicing;program transformation;semantic slicing;slicing algorithm,,3,,73,,,20100129,Jan.-Feb. 2011,,IEEE,IEEE Journals & Magazines,,23
Dynamic Analysis for Diagnosing Integration Faults,L. Mariani; F. Pastore; M. Pezze,"University of Milano Bicocca, Milan",IEEE Transactions on Software Engineering,20110728,2011,37,4,486,508,"Many software components are provided with incomplete specifications and little access to the source code. Reusing such gray-box components can result in integration faults that can be difficult to diagnose and locate. In this paper, we present Behavior Capture and Test (BCT), a technique that uses dynamic analysis to automatically identify the causes of failures and locate the related faults. BCT augments dynamic analysis techniques with model-based monitoring. In this way, BCT identifies a structured set of interactions and data values that are likely related to failures (failure causes), and indicates the components and the operations that are likely responsible for failures (fault locations). BCT advances scientific knowledge in several ways. It combines classic dynamic analysis with incremental finite state generation techniques to produce dynamic models that capture complementary aspects of component interactions. It uses an effective technique to filter false positives to reduce the effort of the analysis of the produced data. It defines a strategy to extract information about likely causes of failures by automatically ranking and relating the detected anomalies so that developers can focus their attention on the faults. The effectiveness of BCT depends on the quality of the dynamic models extracted from the program. BCT is particularly effective when the test cases sample the execution space well. In this paper, we present a set of case studies that illustrate the adequacy of BCT to analyze both regression testing failures and rare field failures. The results show that BCT automatically filters out most of the false alarms and provides useful information to understand the causes of failures in 69 percent of the case studies.",0098-5589;00985589,,10.1109/TSE.2010.93,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5611554,Dynamic Analysis;diagnosis;false positive filters;fault localization;field failure analysis.;regression failure analysis,Analytical models;Automata;Engines;Inference algorithms;Monitoring;Software;Testing,fault diagnosis;object-oriented programming;program testing;software fault tolerance,BCT;Integration Faults;behavior capture and test technique;dynamic analysis;incremental finite state generation techniques;model-based monitoring;software components,,26,,71,,,20101028,July-Aug. 2011,,IEEE,IEEE Journals & Magazines,,22
Dynamic QoS Management and Optimization in Service-Based Systems,R. Calinescu; L. Grunske; M. Kwiatkowska; R. Mirandola; G. Tamburrelli,"Aston University, Birmingham",IEEE Transactions on Software Engineering,20110527,2011,37,3,387,409,"Service-based systems that are dynamically composed at runtime to provide complex, adaptive functionality are currently one of the main development paradigms in software engineering. However, the Quality of Service (QoS) delivered by these systems remains an important concern, and needs to be managed in an equally adaptive and predictable way. To address this need, we introduce a novel, tool-supported framework for the development of adaptive service-based systems called QoSMOS (QoS Management and Optimization of Service-based systems). QoSMOS can be used to develop service-based systems that achieve their QoS requirements through dynamically adapting to changes in the system state, environment, and workload. QoSMOS service-based systems translate high-level QoS requirements specified by their administrators into probabilistic temporal logic formulae, which are then formally and automatically analyzed to identify and enforce optimal system configurations. The QoSMOS self-adaptation mechanism can handle reliability and performance-related QoS requirements, and can be integrated into newly developed solutions or legacy systems. The effectiveness and scalability of the approach are validated using simulations and a set of experiments based on an implementation of an adaptive service-based system for remote medical assistance.",0098-5589;00985589,,10.1109/TSE.2010.92,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5611553,QoS management;QoS optimization;Service-oriented software engineering;adaptive systems.,Analytical models;Markov processes;Optimization;Probabilistic logic;Quality of service;Scattering;Unified modeling language,health care;medical computing;optimisation;quality of service;software engineering,QoS management;QoSMOS;health care;optimization;remote medical assistance;service-based systems;software engineering,,105,,102,,,20101028,May-June 2011,,IEEE,IEEE Journals & Magazines,,22
Improving Source Code Lexicon via Traceability and Information Retrieval,A. De Lucia; M. Di Penta; R. Oliveto,"University of Salerno, Fisciano",IEEE Transactions on Software Engineering,20110324,2011,37,2,205,227,"The paper presents an approach helping developers to maintain source code identifiers and comments consistent with high-level artifacts. Specifically, the approach computes and shows the textual similarity between source code and related high-level artifacts. Our conjecture is that developers are induced to improve the source code lexicon, i.e., terms used in identifiers or comments, if the software development environment provides information about the textual similarity between the source code under development and the related high-level artifacts. The proposed approach also recommends candidate identifiers built from high-level artifacts related to the source code under development and has been implemented as an Eclipse plug-in, called COde Comprehension Nurturant Using Traceability (COCONUT). The paper also reports on two controlled experiments performed with master's and bachelor's students. The goal of the experiments is to evaluate the quality of identifiers and comments (in terms of their consistency with high-level artifacts) in the source code produced when using or not using COCONUT. The achieved results confirm our conjecture that providing the developers with similarity between code and high-level artifacts helps to improve the quality of source code lexicon. This indicates the potential usefulness of COCONUT as a feature for software development environments.",0098-5589;00985589,,10.1109/TSE.2010.89,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5601742,Software traceability;empirical software engineering.;information retrieval;software development environments;source code comprehensibility;source code identifier quality,,information retrieval;program diagnostics;software quality,COCONUT;bachelor student;candidate identifier;code comprehension nurturant using traceability;high level artifact;information retrieval;master student;software development;source code lexicon;textual similarity,,25,,72,,,20101014,March-April 2011,,IEEE,IEEE Journals & Magazines,,22
A Classification Framework for Software Component Models,I. Crnkovic; S. Sentilles; A. Vulgarakis; M. R. V. Chaudron,"M&#x0E4;lardalen University, V&#x0E4;ster&#x0E5;s",IEEE Transactions on Software Engineering,20110929,2011,37,5,593,615,"In the last decade, a large number of different software component models have been developed, with different aims and using different principles and technologies. This has resulted in a number of models which have many similarities, but also principal differences, and in many cases unclear concepts. Component-based development has not succeeded in providing standard principles, as has, for example, object-oriented development. In order to increase the understanding of the concepts and to differentiate component models more easily, this paper identifies, discusses, and characterizes fundamental principles of component models and provides a Component Model Classification Framework based on these principles. Further, the paper classifies a large number of component models using this framework.",0098-5589;00985589,,10.1109/TSE.2010.83,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5587419,Software components;component composition.;component lifecycle;extra-functional properties;software component models,Bismuth;Data models;Packaging,object-oriented programming;pattern classification,component based development;component model classification framework;object oriented development;software component models,,67,2,53,,,20100927,Sept.-Oct. 2011,,IEEE,IEEE Journals & Magazines,,22
Systematic review and aggregation of empirical studies on elicitation techniques,O. Dieste; N. Juristo,"Universidad Polit&#x0E9;cnica de Madrid, Boadilla del Monte",IEEE Transactions on Software Engineering,20110324,2011,37,2,283,304,"We have located the results of empirical studies on elicitation techniques and aggregated these results to gather empirically grounded evidence. Our chosen surveying methodology was systematic review, whereas we used an adaptation of comparative analysis for aggregation because meta-analysis techniques could not be applied. The review identified 564 publications from the SCOPUS, IEEEXPLORE, and ACM DL databases, as well as Google. We selected and extracted data from 26 of those publications. The selected publications contain 30 empirical studies. These studies were designed to test 43 elicitation techniques and 50 different response variables. We got 100 separate results from the experiments. The aggregation generated 17 pieces of knowledge about the interviewing, laddering, sorting, and protocol analysis elicitation techniques. We provide a set of guidelines based on the gathered pieces of knowledge.",0098-5589;00985589,,10.1109/TSE.2010.33,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5416730,Elicitation methods;experimentation;performance measures;systematic literature review.,Data mining;Databases;Information analysis;Protocols;Sensitivity analysis;Software measurement;Sorting,knowledge acquisition;software engineering,ACM DL databases;Google;IEEEXPLORE;SCOPUS;elicitation techniques;empirically grounded evidence;surveying methodology;systematic review,,36,,102,,,20100218,March-April 2011,,IEEE,IEEE Journals & Magazines,,21
Preventing Temporal Violations in Scientific Workflows: Where and How,X. Liu; Y. Yang; Y. Jiang; J. Chen,"Swinburne University of Technology, Melbourne",IEEE Transactions on Software Engineering,20111205,2011,37,6,805,825,"Due to the dynamic nature of the underlying high-performance infrastructures for scientific workflows such as grid and cloud computing, failures of timely completion of important scientific activities, namely, temporal violations, often take place. Unlike conventional exception handling on functional failures, nonfunctional QoS failures such as temporal violations cannot be passively recovered. They need to be proactively prevented through dynamically monitoring and adjusting the temporal consistency states of scientific workflows at runtime. However, current research on workflow temporal verification mainly focuses on runtime monitoring, while the adjusting strategy for temporal consistency states, namely, temporal adjustment, has so far not been thoroughly investigated. For this issue, two fundamental problems of temporal adjustment, namely, where and how, are systematically analyzed and addressed in this paper. Specifically, a novel minimum probability time redundancy-based necessary and sufficient adjustment point selection strategy is proposed to address the problem of where and an innovative genetic-algorithm-based effective and efficient local rescheduling strategy is proposed to tackle the problem of how. The results of large-scale simulation experiments with generic workflows and specific real-world applications demonstrate that our temporal adjustment strategy can remarkably prevent the violations of both local and global temporal constraints in scientific workflows.",0098-5589;00985589,,10.1109/TSE.2010.99,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5645643,Workflow management;exception handling;reliability;software verification;statistical methods.,Decision support systems;Quality of service;Software reliability;Workflow management software,genetic algorithms;middleware;quality of service;workflow management software,adjustment point selection;cloud computing;generic workflows;grid computing;nonfunctional QoS failures;rescheduling strategy;scientific workflows;temporal violation prevention;workflow temporal verification,,23,,53,,,20101129,Nov.-Dec. 2011,,IEEE,IEEE Journals & Magazines,,20
