Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Publication_Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Patent Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier,,page_num
Late propagation in software clones,L. Barbour; F. Khomh; Y. Zou,"Department of Electrical and Computer Engineering, Queen's University, Kingston, ON, Canada",2011 27th IEEE International Conference on Software Maintenance (ICSM),20111117,2011,,,273,282,"Two similar code segments, or clones, form a clone pair within a software system. The changes to the clones over time create a clone evolution history. In this work we study late propagation, a specific pattern of clone evolution. In late propagation, one clone in the clone pair is modified, causing the clone pair to become inconsistent. The code segments are then re-synchronized in a later revision. Existing work has established late propagation as a clone evolution pattern, and suggested that the pattern is related to a high number of faults. In this study we examine the characteristics of late propagation in two long-lived software systems using the Simian and CCFinder clone detection tools. We define 8 types of late propagation and compare them to other forms of clone evolution. Our results not only verify that late propagation is more harmful to software systems, but also establish that some specific cases of late propagations are more harmful than others. Specifically, two cases are most risky: (1) when a clone experiences inconsistent changes and then a re-synchronizing change without any modification to the other clone in a clone pair; and (2) when two clones undergo an inconsistent modification followed by a re-synchronizing change that modifies both the clones in a clone pair.",1063-6773;10636773,Electronic:978-1-4577-0664-6; POD:978-1-4577-0663-9,10.1109/ICSM.2011.6080794,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080794,clone genealogies;fault-proneness;late propagation,Cloning,software engineering,CCFinder clone detection tools;Simian clone detection tools;clone evolution history;code segments;late propagation;software clones;software system,,21,,17,,,,25-30 Sept. 2011,,IEEE,IEEE Conferences,,9
SCOTCH: Test-to-code traceability using slicing and conceptual coupling,A. Qusef; G. Bavota; R. Oliveto; A. De Lucia; D. Binkley,"University of Salerno, Fisciano, Italy",2011 27th IEEE International Conference on Software Maintenance (ICSM),20111117,2011,,,63,72,"Maintaining traceability links between unit tests and tested classes is an important factor for effectively managing the development and evolution of software systems. Exploiting traceability links helps in program comprehension and maintenance by ensuring consistency between unit tests and tested classes during maintenance activities. Unfortunately, it is often the case that such links are not explicitly maintained and thus they have to be recovered manually during software evolution. A novel automated solution to this problem, based on dynamic slicing and conceptual coupling, is presented. The resulting tool, SCOTCH (Slicing and Coupling based Test to Code trace Hunter), is empirically evaluated on three systems: an open source system and two industrial systems. The results indicate that SCOTCH identifies traceability links between unit test classes and tested classes with a high accuracy and greater stability than existing techniques, highlighting its potential usefulness as a feature within a software development environment.",1063-6773;10636773,Electronic:978-1-4577-0664-6; POD:978-1-4577-0663-9,10.1109/ICSM.2011.6080773,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080773,Conceptual Coupling;Empirical Studies;Slicing;Traceability,Accuracy;Couplings;Java;Maintenance engineering;Measurement;Software;Testing,program slicing;program testing;public domain software;reverse engineering;software development management;software maintenance,SCOTCH;automated solution;conceptual coupling;dynamic slicing;industrial system;open source system;program comprehension;software system development management;software system evolution;test to code trace hunter;test-to-code traceability;traceability link maintenance,,16,,27,,,,25-30 Sept. 2011,,IEEE,IEEE Conferences,,9
A seismology-inspired approach to study change propagation,S. Hassaine; F. Boughanmi; Y. G. Gu姓h姓neuc; S. Hamel; G. Antoniol,"DIRO, Universit&#x00E9; de Montr&#x00E9;al, Qu&#x00E9;bec, Canada",2011 27th IEEE International Conference on Software Maintenance (ICSM),20111117,2011,,,53,62,"Change impact analysis aims at identifying software artefacts that are being affected by a change. It helps developers to assess their change efforts and perform more adequate changes. Several approaches have been proposed to aid in impact analysis. However, to the best of our knowledge, none of these approaches have been used to study the scope of changes in a program. We present a metaphor inspired by seismology and propose a mapping between the concepts of seismology and change propagation, to study the scope of change propagation. We perform three case studies on Pooka, Rhino, and Xerces-J to observe change propagation. We use ANOVA and Duncan statistical tests to assess the statistically significance of our observations, which show that changes propagate to a limited scope.",1063-6773;10636773,Electronic:978-1-4577-0664-6; POD:978-1-4577-0663-9,10.1109/ICSM.2011.6080772,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080772,Change Impact Analysis;Change Propagation;Earthquake Forecasting;Software evolution,Earthquakes;History;Measurement;Seismic waves;Seismology;Software;Vectors,software engineering;statistical analysis,Duncan statistical test;Pooka;Rhino;Xerces-J;analysis of variance;change impact analysis;change propagation;object-oriented programming;seismology-inspired approach,,4,,43,,,,25-30 Sept. 2011,,IEEE,IEEE Conferences,,9
Automated change impact analysis for agent systems,H. K. Dam; A. Ghose,"School of Computer Science and Software Engineering, University of Wollongong, New South Wales 2522, Australia",2011 27th IEEE International Conference on Software Maintenance (ICSM),20111117,2011,,,33,42,"Intelligent agent technology has evolved rapidly over the past few years along with the growing number of agent systems in various domains. Although a substantial amount of work in agent-oriented software engineering has provided methodologies for analysing, designing and implementing agent-based systems, recent studies have highlighted that there has been very little work on maintenance and evolution of agent-based systems. A critical issue in software maintenance and evolution is change impact analysis: determining the potential consequences of a proposed change. There has been a proliferation of techniques proposed to support change impact analysis of procedural or object-oriented systems, but to the best of our knowledge, no such an effort has been made for agent-based software. In this paper, we fill this gap by proposing a framework to support change impact analysis for agent systems. At the core of our framework is the taxonomy of atomic changes which can precisely capture semantic differences between versions of an agent system. We also present a change impact model in the form of an intra-agent dependency graph that represents various dependencies within an agent system. An algorithm to compute the set of entities impacted by a change is also presented. The proposed techniques have been implemented in AgentCIA, a change impact analysis plugin for Jason, one of the most well-known agent programming platforms.",1063-6773;10636773,Electronic:978-1-4577-0664-6; POD:978-1-4577-0663-9,10.1109/ICSM.2011.6080770,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080770,,Computer architecture;Context;Libraries;Robots;Software maintenance;Taxonomy,graph theory;object-oriented programming;software agents;software maintenance,AgentCIA;Jason;agent programming platforms;agent systems;agent-oriented software engineering;atomic change taxonomy;automated change impact analysis;autonomous computational entity;intelligent agent technology;intra-agent dependency graph;object-oriented systems;procedural systems;semantic differences;software agent;software evolution;software maintenance,,6,,20,,,,25-30 Sept. 2011,,IEEE,IEEE Conferences,,9
The evolution of Information Systems a case study on document management,P. Salvaneschi,"University of Bergamo, Faculty of Engineering, Dalmine, Italy",2011 27th IEEE International Conference on Software Maintenance (ICSM),20111117,2011,,,428,437,The paper describes a case study whose aim is to verify a set of hypotheses related to the management of documents during the evolution of Information Systems. The idea is to distinguish the evolution documents (documents that support the evolution of long living applications) from the development documents (related to a single development step of the application life). The evolution documents are derived from the development documents using a minimalist approach and a cost-benefit analysis. The study involved ninety applications of a large information system of a retail company. We describe the context and the method of the study. We present the results and discuss both validity and scope. The evolution documents are a collection of selected parts of the development documents with a size reduction (in pages) of an order of magnitude. The study identifies minimal sets of document types for classes of software applications. These sets are organized into patterns of evolution documents. All the evolution documents are stored into a common knowledge base managed through a wiki-based tool.,1063-6773;10636773,Electronic:978-1-4577-0664-6; POD:978-1-4577-0663-9,10.1109/ICSM.2011.6080810,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080810,document management;minimalism;software evolution,Databases;Information systems;Maintenance engineering;Software;Software architecture;Supply chains,Web sites;document handling;information systems;knowledge management;retail data processing;software maintenance,cost-benefit analysis;development documents;document management;evolution documents;information system evolution;minimalist approach;retail company;software evolution;wiki-based tool,,0,,28,,,,25-30 Sept. 2011,,IEEE,IEEE Conferences,,9
An automatic framework for extracting and classifying near-miss clone genealogies,R. K. Saha; C. K. Roy; K. A. Schneider,"Department of Computer Science, University of Saskatchewan, Canada",2011 27th IEEE International Conference on Software Maintenance (ICSM),20111117,2011,,,293,302,"Extracting code clone genealogies across multiple versions of a program and classifying them according to their change patterns underlies the study of code clone evolution. While there are a few studies in the area, the approaches do not handle near-miss clones well and the associated tools are often computationally expensive. To address these limitations, we present a framework for automatically extracting both exact and near-miss clone genealogies across multiple versions of a program and for identifying their change patterns using a few key similarity factors. We have developed a prototype clone genealogy extractor, applied it to three open source projects including the Linux Kernel, and evaluated its accuracy in terms of precision and recall. Our experience shows that the prototype is scalable, adaptable to different clone detection tools, and can automatically identify evolution patterns of both exact and near-miss clones by constructing their genealogies.",1063-6773;10636773,Electronic:978-1-4577-0664-6; POD:978-1-4577-0663-9,10.1109/ICSM.2011.6080796,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080796,clone evolution;clone genealogy extractor;mapping,Accuracy;Cloning;Complexity theory;History;Measurement;Prototypes;Software systems,Linux;operating system kernels;pattern classification;program diagnostics;software maintenance;source coding,Linux kernel;automatic framework;clone detection tools;code clone evolution;key similarity factors;near-miss clone genealogies classification;near-miss clone genealogies extraction;open source projects;software engineering research community,,17,,24,,,,25-30 Sept. 2011,,IEEE,IEEE Conferences,,9
Using source code metrics to predict change-prone Java interfaces,D. Romano; M. Pinzger,"Software Engineering Research Group, Delft University of Technology, The Netherlands",2011 27th IEEE International Conference on Software Maintenance (ICSM),20111117,2011,,,303,312,"Recent empirical studies have investigated the use of source code metrics to predict the change- and defect-proneness of source code files and classes. While results showed strong correlations and good predictive power of these metrics, they do not distinguish between interface, abstract or concrete classes. In particular, interfaces declare contracts that are meant to remain stable during the evolution of a software system while the implementation in concrete classes is more likely to change. This paper aims at investigating to which extent the existing source code metrics can be used for predicting change-prone Java interfaces. We empirically investigate the correlation between metrics and the number of fine-grained source code changes in interfaces of ten Java open-source systems. Then, we evaluate the metrics to calculate models for predicting change-prone Java interfaces. Our results show that the external interface cohesion metric exhibits the strongest correlation with the number of source code changes. This metric also improves the performance of prediction models to classify Java interfaces into change-prone and not change-prone.",1063-6773;10636773,Electronic:978-1-4577-0664-6; POD:978-1-4577-0663-9,10.1109/ICSM.2011.6080797,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080797,,Complexity theory;Concrete;Correlation;Java;Measurement;Predictive models;Software systems,Java;software metrics;software reliability;user interfaces,Java open-source systems;change-prone Java interfaces;change-proneness;concrete classes;defect-proneness;external interface cohesion metric;fine-grained source code;prediction models;software system;source code classes;source code files;source code metrics,,30,1,38,,,,25-30 Sept. 2011,,IEEE,IEEE Conferences,,9
You can't control the unfamiliar: A study on the relations between aggregation techniques for software metrics,B. Vasilescu; A. Serebrenik; M. van den Brand,"Technische Universiteit Eindhoven, Den Dolech 2, P.O. Box 513, 5600 MB, The Netherlands",2011 27th IEEE International Conference on Software Maintenance (ICSM),20111117,2011,,,313,322,"A popular approach to assessing software maintainability and predicting its evolution involves collecting and analyzing software metrics. However, metrics are usually defined on a micro-level (method, class, package), and should therefore be aggregated in order to provide insights in the evolution at the macro-level (system). In addition to traditional aggregation techniques such as the mean, median, or sum, recently econometric aggregation techniques, such as the Gini, Theil, Kolm, Atkinson, and Hoover inequality indices have been proposed and applied to software metrics. In this paper we present the results of an extensive correlation study of the most widely-used traditional and econometric aggregation techniques, applied to lifting SLOC values from class to package level in the 106 systems comprising the Qualitas Corpus. Moreover, we investigate the nature of this relation, and study its evolution on a subset of 12 systems from the Qualitas Corpus. Our results indicate high and statistically significant correlation between the Gini, Theil, Atkinson, and Hoover indices, i.e., aggregation values obtained using these techniques convey the same information. However, we discuss some of the rationale behind choosing between one index or another.",1063-6773;10636773,Electronic:978-1-4577-0664-6; POD:978-1-4577-0663-9,10.1109/ICSM.2011.6080798,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080798,,Correlation;Econometrics;Indexes;Java;Software;Software metrics,econometrics;software maintenance;software metrics,Qualitas Corpus;SLOC values;econometric aggregation techniques;software maintainability;software metrics,,17,,60,,,,25-30 Sept. 2011,,IEEE,IEEE Conferences,,9
Source code comprehension strategies and metrics to predict comprehension effort in software maintenance and evolution tasks - an empirical study with industry practitioners,K. Nishizono; S. Morisakl; R. Vivanco; K. Matsumoto,"Graduate School, of Information Science, Nara Institute of Science and Technology, 8916-5 Takayama, Ikoma, 630-0192 JAPAN",2011 27th IEEE International Conference on Software Maintenance (ICSM),20111117,2011,,,473,481,"The goal of this research was to assess the consistency of source code comprehension strategies and comprehension effort estimation metrics, such as LOC, across different types of modification tasks in software maintenance and evolution. We conducted an empirical study with software development practitioners using source code from a small paint application written in Java, along with four semantics-preserving modification tasks (refactoring, defect correction) and four semantics-modifying modification tasks (enhancive and modification). Each task has a change specification and corresponding source code patch. The subjects were asked to comprehend the original source code and then judge whether each patch meets the corresponding change specification in the modification task. The subjects recorded the time to comprehend and described the comprehension strategies used and their reason for the patch judgments. The 24 subjects used similar comprehension strategies. The results show that the comprehension strategies and effort estimation metrics are not consistent across different types of modification tasks. The recorded descriptions indicate the subjects scanned through the original source code and the patches when trying to comprehend patches in the semantics-modifying tasks while the subjects only read the source code of the patches in semantics-preserving tasks. An important metric for estimating comprehension efforts of the semantics-modifying tasks is the Code Clone Subtracted from LOC(CCSLOC), while that of semantics-preserving tasks is the number of referred variables.",1063-6773;10636773,Electronic:978-1-4577-0664-6; POD:978-1-4577-0663-9,10.1109/ICSM.2011.6080814,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6080814,comprehension effort estimation metrics;semantics-modifying;semantics-preserving;software maintenance and evolution;source code comprehension,Analytical models;Measurement,software maintenance;software metrics,code clone subtracted from LOC;comprehension effort estimation metrics;defect correction;evolution task;refactoring;semantics-modifying modification task;semantics-preserving modification task;software development practitioner;software evolution;software maintenance;source code comprehension;source code patch,,2,,17,,,,25-30 Sept. 2011,,IEEE,IEEE Conferences,,8
A cost model based on software maintainability,T. Bakota; P. Heged�ｱs; G. Lad錐nyi; P. K神rtv姓lyesi; R. Ferenc; T. Gyim神thy,"Dept. of Software Eng., Univ. of Szeged, Szeged, Hungary",2012 28th IEEE International Conference on Software Maintenance (ICSM),20130110,2012,,,316,325,"In this paper we present a maintainability based model for estimating the costs of developing source code in its evolution phase. Our model adopts the concept of entropy in thermodynamics, which is used to measure the disorder of a system. In our model, we use maintainability for measuring disorder (i.e. entropy) of the source code of a software system. We evaluated our model on three proprietary and two open source real world software systems implemented in Java, and found that the maintainability of these evolving software is decreasing over time. Furthermore, maintainability and development costs are in exponential relationship with each other. We also found that our model is able to predict future development costs with high accuracy in these systems.",1063-6773;10636773,Electronic:978-1-4673-2312-3; POD:978-1-4673-2313-0,10.1109/ICSM.2012.6405288,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6405288,ISO/IEC 25000;ISO/IEC 9126;Software maintainability;cost prediction model;development cost estimation,Computational modeling;Entropy;Mathematical model;Measurement;Predictive models;Software systems,Java;entropy;public domain software;software cost estimation;software maintenance,Java;cost estimation;cost model;development cost;entropy concept;evolution phase;evolving software;open source real world software system;software maintainability;source code development;system disorder measurement;thermodynamics,,11,,42,,,,23-28 Sept. 2012,,IEEE,IEEE Conferences,,9
