Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
A field study of API learning obstacles,Empirical Software Engineering,,16,6,10.1007/s10664-010-9150-8,Martin P. RobillardRobert DeLine,2011,http://link.springer.com/article/10.1007/s10664-010-9150-8,Article
A method for evaluating rigor and industrial relevance of technology evaluations,Empirical Software Engineering,,16,3,10.1007/s10664-010-9146-4,Martin IvarssonTony Gorschek,2011,http://link.springer.com/article/10.1007/s10664-010-9146-4,Article
A multiple comparative study of test-with development product changes and their effects on team speed and product quality,Empirical Software Engineering,,16,2,10.1007/s10664-010-9137-5,Steve BannermanAndrew Martin,2011,http://link.springer.com/article/10.1007/s10664-010-9137-5,Article
A practice-driven systematic review of dependency analysis solutions,Empirical Software Engineering,,16,5,10.1007/s10664-011-9158-8,Trosky B. Callo AriasPieter van der SpekParis Avgeriou,2011,http://link.springer.com/article/10.1007/s10664-011-9158-8,Article
A study of the bi-objective next release problem,Empirical Software Engineering,,16,1,10.1007/s10664-010-9147-3,Juan J. DurilloYuanyuan ZhangEnrique AlbaMark HarmanAntonio J. Nebro,2011,http://link.springer.com/article/10.1007/s10664-010-9147-3,Article
An empirical study on the influence of pattern roles on change-proneness,Empirical Software Engineering,,16,3,10.1007/s10664-010-9148-2,Daryl PosnettChristian BirdPrem Dí©vanbu,2011,http://link.springer.com/article/10.1007/s10664-010-9148-2,Article
Assessing architectural evolution: a case study,Empirical Software Engineering,,16,5,10.1007/s10664-011-9164-x,Michel WermelingerYijun YuAngela LozanoAndrea Capiluppi,2011,http://link.springer.com/article/10.1007/s10664-011-9164-x,Article
Behavioral economics in software quality engineering,Empirical Software Engineering,,16,2,10.1007/s10664-010-9140-x,RadosÅ‰aw Hofman,2011,http://link.springer.com/article/10.1007/s10664-010-9140-x,Article
Calculation and optimization of thresholds for sets of software metrics,Empirical Software Engineering,,16,6,10.1007/s10664-011-9162-z,Steffen HerboldJens GrabowskiStephan Waack,2011,http://link.springer.com/article/10.1007/s10664-011-9162-z,Article
Characteristics of multiple-component defects and architectural hotspots: a large system case study,Empirical Software Engineering,,16,5,10.1007/s10664-011-9155-y,Zude LiNazim H. MadhavjiSyed Shariyar MurtazaMechelle GittensAndriy V. MiranskyyDavid GodwinEnzo Cialini,2011,http://link.springer.com/article/10.1007/s10664-011-9155-y,Article
Design evolution metrics for defect prediction in object oriented systems,Empirical Software Engineering,,16,1,10.1007/s10664-010-9151-7,Segla KpodjedoFilippo RiccaPhilippe GalinierYann-Gaí‚l Guí©hí©neucGiuliano Antoniol,2011,http://link.springer.com/article/10.1007/s10664-010-9151-7,Article
Eliciting user requirements using Appreciative inquiry,Empirical Software Engineering,,16,6,10.1007/s10664-011-9156-x,Carol K. GonzalesGondy Leroy,2011,http://link.springer.com/article/10.1007/s10664-011-9156-x,Article
"Empirical research in software architecture: opportunities, challenges, and approaches",Empirical Software Engineering,,16,5,10.1007/s10664-011-9168-6,Muhammad Ali BabarPatricia LagoArie Van Deursen,2011,http://link.springer.com/article/10.1007/s10664-011-9168-6,Article
Evaluating improvements to a meta-heuristic search for constrained interaction testing,Empirical Software Engineering,,16,1,10.1007/s10664-010-9135-7,Brady J. GarvinMyra B. CohenMatthew B. Dwyer,2011,http://link.springer.com/article/10.1007/s10664-010-9135-7,Article
From monolithic to component-based performance evaluation of software architectures,Empirical Software Engineering,,16,5,10.1007/s10664-010-9142-8,Anne MartensHeiko KoziolekLutz PrecheltRalf Reussner,2011,http://link.springer.com/article/10.1007/s10664-010-9142-8,Article
Getting the whole story: an experience report on analyzing data elicited using the war stories procedure,Empirical Software Engineering,,16,4,10.1007/s10664-011-9157-9,Susan Elliott SimThomas A. Alspaugh,2011,http://link.springer.com/article/10.1007/s10664-011-9157-9,Article
Introduction to the special issue on search based software engineering,Empirical Software Engineering,,16,1,10.1007/s10664-011-9154-z,Massimiliano Di PentaSimon Poulding,2011,http://link.springer.com/article/10.1007/s10664-011-9154-z,Article
Investigating the use of Support Vector Regression for web effort estimation,Empirical Software Engineering,,16,2,10.1007/s10664-010-9138-4,Anna CorazzaSergio Di MartinoFilomena FerrucciCarmine GravinoEmilia Mendes,2011,http://link.springer.com/article/10.1007/s10664-010-9138-4,Article
Qualitative research in software engineering,Empirical Software Engineering,,16,4,10.1007/s10664-011-9163-y,Tore Dybí«Rafael PrikladnickiKari Rí_nkkí_Carolyn SeamanJonathan Sillito,2011,http://link.springer.com/article/10.1007/s10664-011-9163-y,Article
Qualitative research on software development: a longitudinal case study methodology,Empirical Software Engineering,,16,4,10.1007/s10664-010-9153-5,Laurie McLeodStephen G. MacDonellBill Doolin,2011,http://link.springer.com/article/10.1007/s10664-010-9153-5,Article
